K,Dimension,Number of Points,Time,Distribution
1,1,50,1.1334e-05,Uniform
2,1,50,6.0565e-06,Uniform
3,1,50,6.2044e-06,Uniform
4,1,50,6.1537e-06,Uniform
5,1,50,6.4522e-06,Uniform
6,1,50,6.4461e-06,Uniform
7,1,50,6.4705e-06,Uniform
8,1,50,6.4681e-06,Uniform
9,1,50,6.8016e-06,Uniform
10,1,50,6.7969e-06,Uniform
11,1,50,6.8569e-06,Uniform
1,1,100,1.24707e-05,Uniform
2,1,100,1.2567e-05,Uniform
3,1,100,1.26151e-05,Uniform
4,1,100,1.26873e-05,Uniform
5,1,100,1.27873e-05,Uniform
6,1,100,1.2814e-05,Uniform
7,1,100,1.30584e-05,Uniform
8,1,100,1.29568e-05,Uniform
9,1,100,1.31439e-05,Uniform
10,1,100,1.31344e-05,Uniform
11,1,100,1.31162e-05,Uniform
1,1,200,3.37434e-05,Uniform
2,1,200,2.89635e-05,Uniform
3,1,200,2.58463e-05,Uniform
4,1,200,2.58689e-05,Uniform
5,1,200,2.64963e-05,Uniform
6,1,200,2.59891e-05,Uniform
7,1,200,2.61438e-05,Uniform
8,1,200,2.60418e-05,Uniform
9,1,200,3.11988e-05,Uniform
10,1,200,3.86329e-05,Uniform
11,1,200,2.67532e-05,Uniform
1,1,400,6.32433e-05,Uniform
2,1,400,5.6239e-05,Uniform
3,1,400,5.61121e-05,Uniform
4,1,400,5.60128e-05,Uniform
5,1,400,5.6345e-05,Uniform
6,1,400,5.63939e-05,Uniform
7,1,400,5.63751e-05,Uniform
8,1,400,5.63664e-05,Uniform
9,1,400,5.68286e-05,Uniform
10,1,400,5.67974e-05,Uniform
11,1,400,5.9053e-05,Uniform
1,1,800,0.000120973,Uniform
2,1,800,0.000117611,Uniform
3,1,800,0.000124789,Uniform
4,1,800,0.000129587,Uniform
5,1,800,0.000142069,Uniform
6,1,800,0.000118333,Uniform
7,1,800,0.000117896,Uniform
8,1,800,0.000118565,Uniform
9,1,800,0.000118636,Uniform
10,1,800,0.000120377,Uniform
11,1,800,0.000118365,Uniform
1,1,1600,0.00030248,Uniform
2,1,1600,0.000292422,Uniform
3,1,1600,0.000292576,Uniform
4,1,1600,0.00029276,Uniform
5,1,1600,0.000292038,Uniform
6,1,1600,0.000330537,Uniform
7,1,1600,0.000292517,Uniform
8,1,1600,0.000295421,Uniform
9,1,1600,0.000296898,Uniform
10,1,1600,0.00030662,Uniform
11,1,1600,0.000299555,Uniform
1,1,3200,0.000553654,Uniform
2,1,3200,0.000552498,Uniform
3,1,3200,0.000552928,Uniform
4,1,3200,0.000586554,Uniform
5,1,3200,0.000563546,Uniform
6,1,3200,0.000640169,Uniform
7,1,3200,0.00056001,Uniform
8,1,3200,0.000556721,Uniform
9,1,3200,0.000553341,Uniform
10,1,3200,0.000579894,Uniform
11,1,3200,0.000554084,Uniform
1,1,6400,0.00140193,Uniform
2,1,6400,0.00140134,Uniform
3,1,6400,0.00140579,Uniform
4,1,6400,0.00142147,Uniform
5,1,6400,0.00140305,Uniform
6,1,6400,0.00140253,Uniform
7,1,6400,0.0014019,Uniform
8,1,6400,0.00140251,Uniform
9,1,6400,0.00140231,Uniform
10,1,6400,0.0014023,Uniform
11,1,6400,0.00140285,Uniform
1,1,12800,0.00270377,Uniform
2,1,12800,0.00269499,Uniform
3,1,12800,0.00268917,Uniform
4,1,12800,0.00269536,Uniform
5,1,12800,0.00268917,Uniform
6,1,12800,0.002694,Uniform
7,1,12800,0.00268737,Uniform
8,1,12800,0.0026922,Uniform
9,1,12800,0.00268748,Uniform
10,1,12800,0.00269007,Uniform
11,1,12800,0.00268733,Uniform
1,1,25600,0.0061763,Uniform
2,1,25600,0.00614462,Uniform
3,1,25600,0.00614165,Uniform
4,1,25600,0.00615828,Uniform
5,1,25600,0.00625404,Uniform
6,1,25600,0.00615392,Uniform
7,1,25600,0.00625447,Uniform
8,1,25600,0.00623223,Uniform
9,1,25600,0.00614324,Uniform
10,1,25600,0.00626189,Uniform
11,1,25600,0.0062643,Uniform
1,1,51200,0.0140082,Uniform
2,1,51200,0.0139909,Uniform
3,1,51200,0.0139909,Uniform
4,1,51200,0.0139951,Uniform
5,1,51200,0.0139717,Uniform
6,1,51200,0.0140291,Uniform
7,1,51200,0.0140274,Uniform
8,1,51200,0.0140259,Uniform
9,1,51200,0.013973,Uniform
10,1,51200,0.0139646,Uniform
11,1,51200,0.0139799,Uniform
1,1,102400,0.0262231,Uniform
2,1,102400,0.0262552,Uniform
3,1,102400,0.0262133,Uniform
4,1,102400,0.0266839,Uniform
5,1,102400,0.0263327,Uniform
6,1,102400,0.026193,Uniform
7,1,102400,0.0263,Uniform
8,1,102400,0.0262823,Uniform
9,1,102400,0.0262738,Uniform
10,1,102400,0.0262694,Uniform
11,1,102400,0.026199,Uniform
1,1,204800,0.0571939,Uniform
2,1,204800,0.0582868,Uniform
3,1,204800,0.0570051,Uniform
4,1,204800,0.0571335,Uniform
5,1,204800,0.0570547,Uniform
6,1,204800,0.0570825,Uniform
7,1,204800,0.058562,Uniform
8,1,204800,0.0620428,Uniform
9,1,204800,0.0580898,Uniform
10,1,204800,0.0715592,Uniform
