K,Dimension,Number of Points,Time,Distribution
1,1,50,2.6391e-06,Uniform
2,1,50,4.2308e-06,Uniform
3,1,50,4.9858e-06,Uniform
4,1,50,8.3928e-06,Uniform
5,1,50,1.01026e-05,Uniform
6,1,50,1.05106e-05,Uniform
7,1,50,1.46832e-05,Uniform
8,1,50,1.09205e-05,Uniform
9,1,50,1.12221e-05,Uniform
10,1,50,1.1279e-05,Uniform
11,1,50,1.12063e-05,Uniform
1,1,100,1.5343e-06,Uniform
2,1,100,2.9026e-06,Uniform
3,1,100,5.4685e-06,Uniform
4,1,100,9.3229e-06,Uniform
5,1,100,1.21983e-05,Uniform
6,1,100,1.31681e-05,Uniform
7,1,100,1.36281e-05,Uniform
8,1,100,1.48039e-05,Uniform
9,1,100,2.26405e-05,Uniform
10,1,100,1.5855e-05,Uniform
11,1,100,1.54479e-05,Uniform
1,1,200,1.7032e-06,Uniform
2,1,200,5.1708e-06,Uniform
3,1,200,1.27212e-05,Uniform
4,1,200,2.8134e-05,Uniform
5,1,200,4.13565e-05,Uniform
6,1,200,4.77625e-05,Uniform
7,1,200,6.54655e-05,Uniform
8,1,200,5.68589e-05,Uniform
9,1,200,5.89516e-05,Uniform
10,1,200,5.9273e-05,Uniform
11,1,200,6.41632e-05,Uniform
1,1,400,2.1625e-06,Uniform
2,1,400,5.7159e-06,Uniform
3,1,400,1.56261e-05,Uniform
4,1,400,3.67229e-05,Uniform
5,1,400,6.00653e-05,Uniform
6,1,400,7.77202e-05,Uniform
7,1,400,8.54237e-05,Uniform
8,1,400,9.73966e-05,Uniform
9,1,400,8.49724e-05,Uniform
10,1,400,8.47074e-05,Uniform
11,1,400,9.19089e-05,Uniform
1,1,800,2.0997e-06,Uniform
2,1,800,6.6212e-06,Uniform
3,1,800,1.66899e-05,Uniform
4,1,800,4.46748e-05,Uniform
5,1,800,8.28221e-05,Uniform
6,1,800,0.00011397,Uniform
7,1,800,0.000147305,Uniform
8,1,800,0.000181006,Uniform
9,1,800,0.000177521,Uniform
10,1,800,0.000173511,Uniform
11,1,800,0.000178111,Uniform
1,1,1600,3.359e-06,Uniform
2,1,1600,9.8953e-06,Uniform
3,1,1600,2.81314e-05,Uniform
4,1,1600,7.12294e-05,Uniform
5,1,1600,0.000130728,Uniform
6,1,1600,0.000193684,Uniform
7,1,1600,0.000244052,Uniform
8,1,1600,0.000310038,Uniform
9,1,1600,0.000329783,Uniform
10,1,1600,0.000321159,Uniform
11,1,1600,0.000330001,Uniform
1,1,3200,2.5017e-06,Uniform
2,1,3200,7.8188e-06,Uniform
3,1,3200,2.55787e-05,Uniform
4,1,3200,7.88285e-05,Uniform
5,1,3200,0.000182374,Uniform
6,1,3200,0.000274521,Uniform
7,1,3200,0.000389616,Uniform
8,1,3200,0.000528595,Uniform
9,1,3200,0.00059487,Uniform
10,1,3200,0.000583948,Uniform
11,1,3200,0.000602271,Uniform
1,1,6400,2.7084e-06,Uniform
2,1,6400,1.10473e-05,Uniform
3,1,6400,4.55725e-05,Uniform
4,1,6400,0.000166554,Uniform
5,1,6400,0.000400707,Uniform
6,1,6400,0.000646884,Uniform
7,1,6400,0.00102167,Uniform
8,1,6400,0.00143248,Uniform
9,1,6400,0.0016575,Uniform
10,1,6400,0.00164926,Uniform
11,1,6400,0.00172508,Uniform
1,1,12800,3.498e-06,Uniform
2,1,12800,1.10493e-05,Uniform
3,1,12800,4.83962e-05,Uniform
4,1,12800,0.000198438,Uniform
5,1,12800,0.000525449,Uniform
6,1,12800,0.000944997,Uniform
7,1,12800,0.0016087,Uniform
8,1,12800,0.00254944,Uniform
9,1,12800,0.00340723,Uniform
10,1,12800,0.00326978,Uniform
11,1,12800,0.00344667,Uniform
1,1,25600,3.3098e-06,Uniform
2,1,25600,1.3101e-05,Uniform
3,1,25600,5.90037e-05,Uniform
4,1,25600,0.000244441,Uniform
5,1,25600,0.000674614,Uniform
6,1,25600,0.0012852,Uniform
7,1,25600,0.00250671,Uniform
8,1,25600,0.00388448,Uniform
9,1,25600,0.00507918,Uniform
10,1,25600,0.0054223,Uniform
11,1,25600,0.00588576,Uniform
1,1,51200,4.1912e-06,Uniform
2,1,51200,1.42431e-05,Uniform
3,1,51200,7.18229e-05,Uniform
4,1,51200,0.000333072,Uniform
5,1,51200,0.00100416,Uniform
6,1,51200,0.00206228,Uniform
7,1,51200,0.00402555,Uniform
8,1,51200,0.00706645,Uniform
9,1,51200,0.0104814,Uniform
10,1,51200,0.0112404,Uniform
11,1,51200,0.0125052,Uniform
1,1,102400,4.0549e-06,Uniform
2,1,102400,1.33292e-05,Uniform
3,1,102400,5.86071e-05,Uniform
4,1,102400,0.000262128,Uniform
5,1,102400,0.000814915,Uniform
6,1,102400,0.00191882,Uniform
7,1,102400,0.00764177,Uniform
8,1,102400,0.00754683,Uniform
9,1,102400,0.00992183,Uniform
10,1,102400,0.0115137,Uniform
11,1,102400,0.0134458,Uniform
1,1,204800,5.4279e-06,Uniform
2,1,204800,1.86102e-05,Uniform
3,1,204800,9.29038e-05,Uniform
4,1,204800,0.000445634,Uniform
5,1,204800,0.00152866,Uniform
6,1,204800,0.00340219,Uniform
7,1,204800,0.00762709,Uniform
8,1,204800,0.0163416,Uniform
9,1,204800,0.0252253,Uniform
10,1,204800,0.0323206,Uniform
11,1,204800,0.0410425,Uniform
1,1,409600,5.0875e-06,Uniform
2,1,409600,2.12359e-05,Uniform
3,1,409600,0.000120399,Uniform
4,1,409600,0.000629754,Uniform
5,1,409600,0.00231739,Uniform
6,1,409600,0.0054284,Uniform
7,1,409600,0.013796,Uniform
8,1,409600,0.0279986,Uniform
9,1,409600,0.0441199,Uniform
10,1,409600,0.0563926,Uniform
11,1,409600,0.0732154,Uniform
