K,Dimension,Number of Points,Time,Distribution
1,2,50,1.382e-06,Uniform
2,2,50,7.86e-08,Uniform
3,2,50,7.84e-08,Uniform
4,2,50,7.59e-08,Uniform
5,2,50,7.65e-08,Uniform
6,2,50,7.54e-08,Uniform
7,2,50,7.71e-08,Uniform
8,2,50,7.63e-08,Uniform
9,2,50,7.57e-08,Uniform
10,2,50,8.11e-08,Uniform
11,2,50,7.54e-08,Uniform
1,2,100,7.63e-08,Uniform
2,2,100,7.6e-08,Uniform
3,2,100,7.5e-08,Uniform
4,2,100,7.66e-08,Uniform
5,2,100,7.65e-08,Uniform
6,2,100,7.55e-08,Uniform
7,2,100,7.67e-08,Uniform
8,2,100,7.61e-08,Uniform
9,2,100,7.58e-08,Uniform
10,2,100,7.59e-08,Uniform
11,2,100,7.82e-08,Uniform
1,2,200,3.3592e-06,Uniform
2,2,200,4.2223e-06,Uniform
3,2,200,5.3331e-06,Uniform
4,2,200,6.5583e-06,Uniform
5,2,200,7.0376e-06,Uniform
6,2,200,7.0902e-06,Uniform
7,2,200,7.8987e-06,Uniform
8,2,200,2.25e-07,Uniform
9,2,200,1.772e-07,Uniform
10,2,200,1.739e-07,Uniform
11,2,200,1.726e-07,Uniform
1,2,400,2.3629e-05,Uniform
2,2,400,2.94237e-05,Uniform
3,2,400,3.78276e-05,Uniform
4,2,400,4.6318e-05,Uniform
5,2,400,4.14667e-05,Uniform
6,2,400,3.85033e-05,Uniform
7,2,400,4.59221e-05,Uniform
8,2,400,5.07636e-05,Uniform
9,2,400,5.3792e-05,Uniform
10,2,400,5.65417e-05,Uniform
11,2,400,5.93499e-05,Uniform
1,2,800,1.218e-07,Uniform
2,2,800,1.276e-07,Uniform
3,2,800,8.34e-08,Uniform
4,2,800,8.61878e-05,Uniform
5,2,800,9.55798e-05,Uniform
6,2,800,0.000103738,Uniform
7,2,800,0.000111312,Uniform
8,2,800,0.000121972,Uniform
9,2,800,0.000131238,Uniform
10,2,800,0.000165771,Uniform
11,2,800,0.000181152,Uniform
1,2,1600,1.527e-07,Uniform
2,2,1600,1.469e-07,Uniform
3,2,1600,1.619e-07,Uniform
4,2,1600,1.646e-07,Uniform
5,2,1600,1.536e-07,Uniform
6,2,1600,1.45e-07,Uniform
7,2,1600,1.843e-07,Uniform
8,2,1600,3.00107e-05,Uniform
9,2,1600,4.76533e-05,Uniform
10,2,1600,3.8848e-05,Uniform
11,2,1600,6.14991e-05,Uniform
1,2,3200,1.282e-07,Uniform
2,2,3200,8.58e-08,Uniform
3,2,3200,8.62e-08,Uniform
4,2,3200,9.59e-08,Uniform
5,2,3200,1.595e-07,Uniform
6,2,3200,1.079e-07,Uniform
7,2,3200,4.18622e-05,Uniform
8,2,3200,5.29031e-05,Uniform
9,2,3200,5.37874e-05,Uniform
10,2,3200,5.62776e-05,Uniform
11,2,3200,5.77485e-05,Uniform
1,2,6400,9.93e-08,Uniform
2,2,6400,1.157e-07,Uniform
3,2,6400,9.96e-08,Uniform
4,2,6400,9.42e-08,Uniform
5,2,6400,1.007e-07,Uniform
6,2,6400,0.000107657,Uniform
7,2,6400,9.49e-08,Uniform
8,2,6400,9.81e-08,Uniform
9,2,6400,1.1e-07,Uniform
10,2,6400,9.68316e-05,Uniform
11,2,6400,0.000100528,Uniform
1,2,12800,1.85178e-05,Uniform
2,2,12800,1.231e-07,Uniform
3,2,12800,2.17055e-05,Uniform
4,2,12800,3.38231e-05,Uniform
5,2,12800,3.78114e-05,Uniform
6,2,12800,4.08916e-05,Uniform
7,2,12800,4.45624e-05,Uniform
8,2,12800,4.92538e-05,Uniform
9,2,12800,4.07768e-05,Uniform
10,2,12800,6.31569e-05,Uniform
11,2,12800,4.52476e-05,Uniform
1,2,25600,3.80408e-05,Uniform
2,2,25600,4.44435e-05,Uniform
3,2,25600,5.30913e-05,Uniform
4,2,25600,0.000106362,Uniform
5,2,25600,1.285e-07,Uniform
6,2,25600,1.183e-07,Uniform
7,2,25600,1.218e-07,Uniform
8,2,25600,1.428e-07,Uniform
9,2,25600,1.334e-07,Uniform
10,2,25600,0.000123994,Uniform
11,2,25600,0.000130506,Uniform
1,2,51200,1.294e-07,Uniform
2,2,51200,1.273e-07,Uniform
3,2,51200,1.345e-07,Uniform
4,2,51200,8.89351e-05,Uniform
5,2,51200,1.311e-07,Uniform
6,2,51200,1.274e-07,Uniform
7,2,51200,1.295e-07,Uniform
8,2,51200,3.398e-07,Uniform
9,2,51200,1.216e-07,Uniform
10,2,51200,1.322e-07,Uniform
11,2,51200,0.000155287,Uniform
1,2,102400,1.345e-07,Uniform
2,2,102400,3.164e-07,Uniform
3,2,102400,0.000186917,Uniform
4,2,102400,0.000237926,Uniform
5,2,102400,0.000160466,Uniform
6,2,102400,1.287e-07,Uniform
7,2,102400,1.377e-07,Uniform
8,2,102400,0.000239113,Uniform
9,2,102400,0.000315618,Uniform
10,2,102400,1.569e-07,Uniform
11,2,102400,0.000295225,Uniform
1,2,204800,1.241e-07,Uniform
2,2,204800,5.39119e-05,Uniform
3,2,204800,1.368e-07,Uniform
4,2,204800,1.292e-07,Uniform
5,2,204800,1.218e-07,Uniform
6,2,204800,0.000159358,Uniform
7,2,204800,1.906e-07,Uniform
8,2,204800,1.474e-07,Uniform
9,2,204800,1.185e-07,Uniform
10,2,204800,1.26e-07,Uniform
11,2,204800,2.637e-07,Uniform
1,2,409600,0.000194127,Uniform
2,2,409600,1.43e-07,Uniform
3,2,409600,0.000264389,Uniform
4,2,409600,0.00029351,Uniform
5,2,409600,0.000308098,Uniform
6,2,409600,0.00046056,Uniform
7,2,409600,1.483e-07,Uniform
8,2,409600,0.000597771,Uniform
9,2,409600,2.013e-07,Uniform
10,2,409600,0.000425025,Uniform
11,2,409600,1.479e-07,Uniform
1,2,819200,1.579e-07,Uniform
2,2,819200,1.404e-07,Uniform
3,2,819200,0.000429594,Uniform
4,2,819200,1.393e-07,Uniform
5,2,819200,1.454e-07,Uniform
6,2,819200,0.00101879,Uniform
7,2,819200,0.000707703,Uniform
8,2,819200,0.00101964,Uniform
9,2,819200,1.487e-07,Uniform
10,2,819200,1.678e-07,Uniform
11,2,819200,0.00118297,Uniform
1,2,50,1.142e-07,Gaussian
2,2,50,1.179e-07,Gaussian
3,2,50,1.247e-07,Gaussian
4,2,50,1.27e-07,Gaussian
5,2,50,1.149e-07,Gaussian
6,2,50,1.215e-07,Gaussian
7,2,50,1.225e-07,Gaussian
8,2,50,1.16e-07,Gaussian
9,2,50,2.87854e-05,Gaussian
10,2,50,1.0317e-05,Gaussian
11,2,50,8.2508e-06,Gaussian
1,2,100,9.04e-08,Gaussian
2,2,100,8.32e-08,Gaussian
3,2,100,7.83e-08,Gaussian
4,2,100,1.018e-07,Gaussian
5,2,100,7.86e-08,Gaussian
6,2,100,7.76e-08,Gaussian
7,2,100,7.77e-08,Gaussian
8,2,100,7.83e-08,Gaussian
9,2,100,7.71e-08,Gaussian
10,2,100,7.74e-08,Gaussian
11,2,100,1.149e-07,Gaussian
